Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
Apple Inc,AAPL,2.4,5/3/2023,2.7220081,2.7220081,AT MATURITY,5500000000,USD,US,4/30/2013,FIXED,AA+,Aa1
Apple Inc,AAPL,3.2,5/13/2025,3.0118173,3.0118173,AT MATURITY,2000000000,USD,US,5/6/2015,FIXED,AA+,Aa1
Apple Inc,AAPL,3.2,5/13/2025,3.0118173,3.0118173,AT MATURITY,2000000000,USD,US,5/6/2015,FIXED,AA+,Aa1
Apple Inc,AAPL,3.45,5/6/2024,2.9970192,2.9970192,AT MATURITY,2500000000,USD,US,4/29/2014,FIXED,AA+,Aa1
Federal National Mortgage Association,FNMA,2.625,9/6/2024,2.0798628,2.0798628,AT MATURITY,4500000000,USD,US,9/4/2014,FIXED,AA+,Aaa
Apple Inc,AAPL,2.5,2/9/2025,2.9581457,2.9581457,AT MATURITY,1500000000,USD,US,2/2/2015,FIXED,AA+,Aa1
Federal Home Loan Banks,FHLB,3.05,7/29/2026,3.0499789,3.04922499,CALLABLE,70000000,USD,US,1/15/2016,FIXED,AA+,Aaa
Federal Home Loan Banks,FHLB,3.45,2/3/2031,3.4371178,2.8457314,CALLABLE,34000000,USD,US,1/13/2016,FIXED,AA+,Aaa
Federal Farm Credit Banks,FFCB,2.34,1/26/2023,2.3477705,2.3477705,CALLABLE,77000000,USD,US,1/19/2016,FIXED,AA+,Aaa
Federal Farm Credit Banks,FFCB,2.55,7/21/2023,2.5499316,2.54801467,CALLABLE,35000000,USD,US,1/14/2016,FIXED,AA+,Aaa
Federal National Mortgage Association,FNMA,6.625,11/15/2030,2.6811632,2.6811632,AT MATURITY,4500000000,USD,US,11/1/2000,FIXED,AA+,Aaa
Federal National Mortgage Association,FNMA,2.63,10/10/2024,2.6426934,2.6426934,CALLABLE,250000000,USD,US,9/24/2012,FIXED,AA+,Aaa
Tennessee Valley Authority,TVA,2.875,9/15/2024,2.5051011,2.5051011,AT MATURITY,1000000000,USD,US,9/24/2014,FIXED,AA+,Aaa
General Electric Co,GE,3.375,3/11/2024,2.6672483,2.6672483,AT MATURITY,750000000,USD,US,3/6/2014,FIXED,AA+,A1
Federal Home Loan Banks,FHLB,2.6,1/26/2024,2.6209077,2.6209077,CALLABLE,20000000,USD,US,1/12/2016,FIXED,AA+,Aaa
Tennessee Valley Authority,TVA,7.125,5/1/2030,3.2392563,3.2392563,AT MATURITY,1000000000,USD,US,6/23/2000,FIXED,AA+,Aaa
Federal Farm Credit Banks,FFCB,2.82,1/27/2025,2.7281953,2.0711938,CALLABLE,162000000,USD,US,1/13/2016,FIXED,AA+,Aaa
Federal Farm Credit Banks,FFCB,3.08,12/29/2025,3.041675,1.02745441,CALLABLE,50000000,USD,US,12/22/2015,FIXED,AA+,Aaa
Federal Farm Credit Banks,FFCB,2.87,1/26/2026,2.8699619,2.8696587,CALLABLE,30000000,USD,US,1/19/2016,FIXED,AA+,Aaa
Federal Home Loan Banks,FHLB,2.4,1/27/2023,2.4195248,2.4195248,CALLABLE,50000000,USD,US,1/15/2016,FIXED,AA+,Aaa
Federal Home Loan Banks,FHLB,2.65,1/2/2026,2.6642864,2.6642864,CALLABLE,25000000,USD,US,12/5/2012,FIXED,AA+,Aaa
Federal Farm Credit Banks,FFCB,2.49,1/12/2023,2.3758624,1.711221,CALLABLE,50000000,USD,US,1/5/2016,FIXED,AA+,Aaa
Federal Farm Credit Banks,FFCB,3.34,1/25/2030,3.3399535,3.3394613,CALLABLE,115000000,USD,US,1/13/2016,FIXED,AA+,Aaa
Federal Farm Credit Banks,FFCB,3.04,8/5/2024,2.9610209,1.8681817,CALLABLE,57000000,USD,US,7/29/2015,FIXED,AA+,Aaa
Federal Home Loan Banks,FHLB,2.9,2/3/2026,2.9179833,2.9179833,CALLABLE,38000000,USD,US,1/14/2016,FIXED,AA+,Aaa
