Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
Marathon Oil Corp,MRO,3.85,6/1/2025,8.3464217,8.3464217,CALLABLE,900000000,USD,US,6/1/2015,FIXED,BBB,Baa1 /*-
Marathon Oil Corp,MRO,3.85,6/1/2025,8.3464217,8.3464217,CALLABLE,900000000,USD,US,6/1/2015,FIXED,BBB,Baa1 /*-
Anadarko Petroleum Corp,APC,3.45,7/15/2024,6.3591999671,6.3591999671,CALLABLE,625000000,USD,US,7/1/2014,FIXED,BBB,Baa2 /*-
Anadarko Petroleum Corp,APC,3.45,7/15/2024,6.3591999671,6.3591999671,CALLABLE,625000000,USD,US,7/1/2014,FIXED,BBB,Baa2 /*-
Kroger Co/The,KR,3.5,2/1/2026,3.3460052,3.34301229,CALLABLE,500000000,USD,US,1/8/2016,FIXED,BBB,Baa2
Kroger Co/The,KR,3.5,2/1/2026,3.3460052,3.34301229,CALLABLE,500000000,USD,US,1/8/2016,FIXED,BBB,Baa2
Glencore Funding LLC,GLENLN,4.125,5/30/2023,10.5540317,10.5540317,AT MATURITY,1500000000,USD,US,5/22/2013,FIXED,BBB,Baa3
Kohl's Corp,KSS,4.25,7/17/2025,4.3007862,4.3007862,CALLABLE,650000000,USD,US,7/14/2015,FIXED,BBB,Baa1
Plains All American Pipeline LP / PAA Finance Corp,PAA,4.65,10/15/2025,6.6850214,6.6850214,CALLABLE,1000000000,USD,US,8/17/2015,FIXED,BBB,Baa2
Plains All American Pipeline LP / PAA Finance Corp,PAA,4.65,10/15/2025,6.6850214,6.6850214,CALLABLE,1000000000,USD,US,8/17/2015,FIXED,BBB,Baa2
Citigroup Inc,C,4.45,9/29/2027,4.3847812,4.3847812,AT MATURITY,3500000000,USD,US,9/23/2015,FIXED,BBB,Baa3
Hewlett Packard Enterprise Co,HPE,4.9,10/15/2025,5.5540284,5.5540284,CALLABLE,2500000000,USD,US,9/30/2015,FIXED,BBB,Baa2
Walgreens Boots Alliance Inc,WBA,3.8,11/18/2024,4.0330657,4.0330657,CALLABLE,2000000000,USD,US,11/6/2014,FIXED,BBB,Baa2 /*-
Citigroup Inc,C,4.4,6/10/2025,4.4089493,4.4089493,AT MATURITY,2500000000,USD,US,6/3/2015,FIXED,BBB,Baa3
Glencore Funding LLC,GLENLN,4.625,4/29/2024,10.3517281,10.3517281,AT MATURITY,1000000000,USD,US,4/22/2014,FIXED,BBB,Baa3
Noble Energy Inc,NBL,3.9,11/15/2024,6.269659,6.269659,CALLABLE,650000000,USD,US,11/4/2014,FIXED,BBB,Baa2 /*-
Citigroup Inc,C,5.5,9/13/2025,4.4454042,4.4454042,AT MATURITY,1420000000,USD,US,9/10/2013,FIXED,BBB,Baa3
Citigroup Inc,C,3.5,5/15/2023,3.8165858,3.8165858,AT MATURITY,1250000000,USD,US,5/7/2013,FIXED,BBB,Baa3
Black Hills Corp,BKH,3.95,1/15/2026,3.6240404,3.6099031,CALLABLE,300000000,USD,US,1/8/2016,FIXED,BBB,Baa1
Black Hills Corp,BKH,3.95,1/15/2026,3.6240404,3.6099031,CALLABLE,300000000,USD,US,1/8/2016,FIXED,BBB,Baa1
Time Warner Inc,TWX,3.875,1/15/2026,3.8932244,3.8932244,CALLABLE,600000000,USD,US,11/17/2015,FIXED,BBB,Baa2
Delphi Corp,DLPH,5,2/15/2023,4.2525122,3.8689253,CALLABLE,800000000,USD,US,2/11/2013,FIXED,BBB,Baa3
Dow Chemical Co/The,DOW,3.5,10/1/2024,3.6098493,3.6098493,CALLABLE,900000000,USD,US,9/9/2014,FIXED,BBB /*,Baa2
Dow Chemical Co/The,DOW,3.5,10/1/2024,3.6098493,3.6098493,CALLABLE,900000000,USD,US,9/9/2014,FIXED,BBB /*,Baa2
EnLink Midstream Partners LP,ENLK,4.15,6/1/2025,8.9626393,8.9626393,CALLABLE,750000000,USD,US,5/7/2015,FIXED,BBB,Baa3 /*-
