Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
ConocoPhillips,COP,5.75,2/1/2019,3.9371143,3.9371143,AT MATURITY,2250000000,USD,US,1/29/2009,FIXED,A,A2 /*-
ConocoPhillips,COP,5.75,2/1/2019,3.9371143,3.9371143,AT MATURITY,2250000000,USD,US,1/29/2009,FIXED,A,A2 /*-
EMC Corp/MA,EMC,1.875,6/1/2018,3.8670368,3.8670368,AT MATURITY,2500000000,USD,US,6/3/2013,FIXED,A /*-,A1 /*-
ConocoPhillips,COP,6,1/15/2020,4.087198,4.087198,AT MATURITY,1000000000,USD,US,5/18/2009,FIXED,A,A2 /*-
ConocoPhillips Co,COP,1.5,5/15/2018,3.0578335,3.0578335,AT MATURITY,750000000,USD,US,5/13/2015,FIXED,A,A2 /*-
Walt Disney Co/The,DIS,1.65,1/8/2019,1.3048406,1.3048406,AT MATURITY,350000000,USD,US,1/5/2016,FIXED,A,A2
Walt Disney Co/The,DIS,1.65,1/8/2019,1.3048406,1.3048406,AT MATURITY,350000000,USD,US,1/5/2016,FIXED,A,A2
Home Depot Inc/The,HD,2,6/15/2019,1.4127256,1.39846492,CALLABLE,1000000000,USD,US,6/9/2014,FIXED,A,A2
Home Depot Inc/The,HD,2,6/15/2019,1.4127256,1.39846492,CALLABLE,1000000000,USD,US,6/9/2014,FIXED,A,A2
PepsiCo Inc,PEP,5,6/1/2018,1.4856833,1.4856833,AT MATURITY,1750000000,USD,US,5/19/2008,FIXED,A,A1
ConocoPhillips Co,COP,1.05,12/15/2017,2.0460384,2.0460384,CALLABLE,1000000000,USD,US,12/4/2012,FIXED,A,A2 /*-
Wells Fargo & Co,WFC,1.5,1/16/2018,1.5155383,1.5155383,AT MATURITY,2100000000,USD,US,12/18/2012,FIXED,A,A2
Wells Fargo & Co,WFC,5.625,12/11/2017,1.5563712,1.5563712,AT MATURITY,3000000000,USD,US,12/3/2007,FIXED,A,A2
Amgen Inc,AMGN,2.2,5/22/2019,1.9418638,1.93564159,CALLABLE,1400000000,USD,US,5/19/2014,FIXED,A,Baa1
Amgen Inc,AMGN,2.2,5/22/2019,1.9418638,1.93564159,CALLABLE,1400000000,USD,US,5/19/2014,FIXED,A,Baa1
AbbVie Inc,ABBV,1.75,11/6/2017,1.8203499,1.8203499,AT MATURITY,3996237000,USD,US,7/8/2013,FIXED,A,Baa1
AbbVie Inc,ABBV,1.8,5/14/2018,1.9343329,1.9343329,AT MATURITY,3000000000,USD,US,5/5/2015,FIXED,A,Baa1
Gilead Sciences Inc,GILD,1.85,9/4/2018,1.5331916,1.5331916,AT MATURITY,1000000000,USD,US,9/9/2015,FIXED,A,A3
Gilead Sciences Inc,GILD,1.85,9/4/2018,1.5331916,1.5331916,AT MATURITY,1000000000,USD,US,9/9/2015,FIXED,A,A3
Wells Fargo & Co,WFC,2.125,4/22/2019,1.4884909,1.4884909,AT MATURITY,1750000000,USD,US,4/14/2014,FIXED,A,A2
Wells Fargo & Co,WFC,2.125,4/22/2019,1.4884909,1.4884909,AT MATURITY,1750000000,USD,US,4/14/2014,FIXED,A,A2
PepsiCo Inc,PEP,2.25,1/7/2019,1.5117588,1.49104558,CALLABLE,850000000,USD,US,7/25/2013,FIXED,A,A1
Wells Fargo & Co,WFC,2.15,1/15/2019,1.7537125,1.7537125,AT MATURITY,1500000000,USD,US,10/21/2013,FIXED,A,A2
Philip Morris International Inc,PM,1.875,1/15/2019,1.5688649,1.5688649,AT MATURITY,750000000,USD,US,11/4/2013,FIXED,A,A2
Philip Morris International Inc,PM,1.875,1/15/2019,1.5688649,1.5688649,AT MATURITY,750000000,USD,US,11/4/2013,FIXED,A,A2
Anthem Inc,ANTM,2.25,8/15/2019,2.5023337,2.5023337,AT MATURITY,850000000,USD,US,8/7/2014,FIXED,A /*-,Baa2 /*-
Philip Morris International Inc,PM,5.65,5/16/2018,1.5561068,1.5561068,AT MATURITY,2500000000,USD,US,5/13/2008,FIXED,A,A2
AbbVie Inc,ABBV,2,11/6/2018,2.0554164,2.0554164,AT MATURITY,997700000,USD,US,7/8/2013,FIXED,A,Baa1
Simon Property Group LP,SPG,2.15,9/15/2017,1.4530854,1.32846611,CALLABLE,600000000,USD,US,3/8/2012,FIXED,A,A2
ConocoPhillips,COP,5.2,5/15/2018,3.1919786,3.1919786,AT MATURITY,500000000,USD,US,5/5/2008,FIXED,A,A2 /*-
John Deere Capital Corp,DE,1.2,10/10/2017,1.2623716,1.2623716,AT MATURITY,500000000,USD,US,9/4/2012,FIXED,A,A2
Home Depot Inc/The,HD,2.25,9/10/2018,1.0977678,1.06097817,CALLABLE,1150000000,USD,US,9/3/2013,FIXED,A,A2
Kimberly-Clark Corp,KMB,6.125,8/1/2017,1.162097,1.162097,AT MATURITY,950000000,USD,US,7/25/2007,FIXED,A,A2
Target Corp,TGT,2.3,6/26/2019,1.6459133,1.6459133,AT MATURITY,1000000000,USD,US,6/17/2014,FIXED,A,A2
Target Corp,TGT,2.3,6/26/2019,1.6459133,1.6459133,AT MATURITY,1000000000,USD,US,6/17/2014,FIXED,A,A2
Bottling Group LLC,PEP,5.125,1/15/2019,1.6063879,1.6063879,AT MATURITY,750000000,USD,US,1/14/2009,FIXED,A,A1
PepsiCo Inc,PEP,1.25,4/30/2018,1.0594901,1.0594901,AT MATURITY,500000000,USD,US,4/27/2015,FIXED,A,A1
Praxair Inc,PX,1.25,11/7/2018,1.7329492,1.7329492,AT MATURITY,475000000,USD,US,4/29/2013,FIXED,A,A2
