Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
International Business Machines Corp,IBM,7,10/30/2025,3.3853055,3.3853055,AT MATURITY,600000000,USD,US,10/25/1995,FIXED,AA-,Aa3
Schlumberger Holdings Corp,SLB,4,12/21/2025,4.2310632,4.2310632,CALLABLE,1750000000,USD,US,12/10/2015,FIXED,AA-,A2 /*-
International Business Machines Corp,IBM,3.625,2/12/2024,3.1460312,3.1460312,AT MATURITY,2000000000,USD,US,2/6/2014,FIXED,AA-,Aa3
International Business Machines Corp,IBM,3.625,2/12/2024,3.1460312,3.1460312,AT MATURITY,2000000000,USD,US,2/6/2014,FIXED,AA-,Aa3
Amazon.com Inc,AMZN,3.8,12/5/2024,3.1914725,3.17688854,CALLABLE,1250000000,USD,US,12/2/2014,FIXED,AA-,Baa1
Cisco Systems Inc,CSCO,5.5,2/22/2016,1.3049871936,1.3049871936,AT MATURITY,3000000000,USD,US,2/14/2006,FIXED,AA-,A1
Procter & Gamble Co/The,PG,3.1,8/15/2023,2.2277361,2.2277361,AT MATURITY,1000000000,USD,US,8/8/2013,FIXED,AA-,Aa3
International Business Machines Corp,IBM,8.375,11/1/2019,2.0843422,2.0843422,AT MATURITY,750000000,USD,US,11/1/1989,FIXED,AA-,Aa3
Amazon.com Inc,AMZN,3.3,12/5/2021,2.5443441,2.52456819,CALLABLE,1000000000,USD,US,12/2/2014,FIXED,AA-,Baa1
Oracle Corp,ORCL,3.4,7/8/2024,3.1278412,3.12099591,CALLABLE,2000000000,USD,US,6/30/2014,FIXED,AA-,A1
International Business Machines Corp,IBM,4,6/20/2042,4.7065002,4.7065002,AT MATURITY,1107313000,USD,US,5/21/2012,FIXED,AA-,Aa3
International Business Machines Corp,IBM,4,6/20/2042,4.7065002,4.7065002,AT MATURITY,1107313000,USD,US,5/21/2012,FIXED,AA-,Aa3
Oracle Corp,ORCL,2.95,5/15/2025,3.0863719,3.0863719,CALLABLE,2500000000,USD,US,4/28/2015,FIXED,AA-,A1
Oracle Corp,ORCL,2.95,5/15/2025,3.0863719,3.0863719,CALLABLE,2500000000,USD,US,4/28/2015,FIXED,AA-,A1
Amazon.com Inc,AMZN,2.6,12/5/2019,2.0399459,2.02836247,CALLABLE,1000000000,USD,US,12/2/2014,FIXED,AA-,Baa1
