Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
Anheuser-Busch InBev Finance Inc,ABIBB,4.9,2/1/2046,4.6945414,4.6929702,CALLABLE,11000000000,USD,US,1/13/2016,FIXED,A-,(P)A3
Anheuser-Busch InBev Finance Inc,ABIBB,4.9,2/1/2046,4.6945414,4.6929702,CALLABLE,11000000000,USD,US,1/13/2016,FIXED,A-,(P)A3
Anheuser-Busch InBev Finance Inc,ABIBB,4.7,2/1/2036,4.588478,4.5867347,CALLABLE,6000000000,USD,US,1/13/2016,FIXED,A-,(P)A3
Anheuser-Busch InBev Finance Inc,ABIBB,4.625,2/1/2044,4.595026,4.595026,AT MATURITY,850000000,USD,US,1/22/2014,FIXED,A-,A2 /*-
Alabama Power Co,SO,4.3,1/2/2046,4.167066,4.1659359,CALLABLE,400000000,USD,US,1/8/2016,FIXED,A-,A1
EOG Resources Inc,EOG,5.1,1/15/2036,5.1910233,5.1910233,CALLABLE,250000000,USD,US,1/11/2016,FIXED,A-,A3 /*-
MetLife Inc,MET,4.6,5/13/2046,4.6379761,4.6379761,CALLABLE,750000000,USD,US,11/9/2015,FIXED,A-,A3 /*-
MetLife Inc,MET,4.6,5/13/2046,4.6379761,4.6379761,CALLABLE,750000000,USD,US,11/9/2015,FIXED,A-,A3 /*-
American International Group Inc,AIG,4.5,7/16/2044,5.3800343,5.3800343,CALLABLE,2250000000,USD,US,7/9/2014,FIXED,A-,Baa1
American International Group Inc,AIG,4.5,7/16/2044,5.3800343,5.3800343,CALLABLE,2250000000,USD,US,7/9/2014,FIXED,A-,Baa1
Anheuser-Busch InBev Worldwide Inc,ABIBB,8.2,1/15/2039,4.9614548,4.9614548,AT MATURITY,1249274000,USD,US,2/9/2011,FIXED,A-,A2 /*-
Lowe's Cos Inc,LOW,4.375,9/15/2045,4.1965105,4.1949822,CALLABLE,750000000,USD,US,9/9/2015,FIXED,A-,A3
Lowe's Cos Inc,LOW,4.375,9/15/2045,4.1965105,4.1949822,CALLABLE,750000000,USD,US,9/9/2015,FIXED,A-,A3
Intel Corp,INTC,2.95,12/15/2035,1.6455474364,1.6455474364,CONVERTIBLE,1600000000,USD,US,3/30/2006,FIXED,A-,#N/A N/A
Anheuser-Busch InBev Finance Inc,ABIBB,4.915,1/29/2046,4.8142884,4.56147211,CALLABLE,1470000000,USD,US,1/20/2016,FIXED,A-,(P)A3
MetLife Inc,MET,4.05,3/1/2045,4.6650038,4.6650038,AT MATURITY,1000000000,USD,US,3/2/2015,FIXED,A-,A3 /*-
Anheuser-Busch InBev Finance Inc,ABIBB,4.6,7/23/2045,4.7995757,4.7995757,CALLABLE,565000000,USD,US,7/9/2015,FIXED,A-,A2 /*-
Biogen Inc,BIIB,5.2,9/15/2045,5.0391604,5.0379689,CALLABLE,1750000000,USD,US,9/10/2015,FIXED,A-,Baa1
Intel Corp,INTC,3.25,8/1/2039,0.8136706628,0.8136706628,CONVERTIBLE,2000000000,USD,US,7/21/2009,FIXED,A-,A2
Anheuser-Busch InBev Worldwide Inc,ABIBB,3.75,7/15/2042,4.6795287,4.6795287,AT MATURITY,1000000000,USD,US,7/11/2012,FIXED,A-,A2 /*-
JPMorgan Chase & Co,JPM,4.85,2/1/2044,4.4069783,4.4069783,AT MATURITY,1000000000,USD,US,1/21/2014,FIXED,A-,A3
JPMorgan Chase & Co,JPM,4.85,2/1/2044,4.4069783,4.4069783,AT MATURITY,1000000000,USD,US,1/21/2014,FIXED,A-,A3
Sysco Corp,SYY,4.85,10/1/2045,4.6604853,4.658994,CALLABLE,500000000,USD,US,9/23/2015,FIXED,A-,A2
United Technologies Corp,UTX,4.15,5/15/2045,4.3209983,4.3209983,CALLABLE,850000000,USD,US,4/29/2015,FIXED,A-,A3
Comcast Corp,CMCSA,4.6,8/15/2045,4.5246217,4.5240014,CALLABLE,1700000000,USD,US,5/19/2015,FIXED,A-,A3
Comcast Corp,CMCSA,4.6,8/15/2045,4.5246217,4.5240014,CALLABLE,1700000000,USD,US,5/19/2015,FIXED,A-,A3
Nordstrom Inc,JWN,5,1/15/2044,5.0793079,5.0793079,CALLABLE,665562000,USD,US,5/6/2014,FIXED,A- /*-,Baa1
Nordstrom Inc,JWN,5,1/15/2044,5.0793079,5.0793079,CALLABLE,665562000,USD,US,5/6/2014,FIXED,A- /*-,Baa1
American International Group Inc,AIG,4.8,7/10/2045,5.406043,5.406043,CALLABLE,750000000,USD,US,7/7/2015,FIXED,A-,Baa1
United Technologies Corp,UTX,4.5,6/1/2042,4.3610037,4.3610037,AT MATURITY,3500000000,USD,US,5/24/2012,FIXED,A-,A3
United Technologies Corp,UTX,4.5,6/1/2042,4.3610037,4.3610037,AT MATURITY,3500000000,USD,US,5/24/2012,FIXED,A-,A3
Analog Devices Inc,ADI,5.3,12/15/2045,5.0497668,5.0479644,CALLABLE,400000000,USD,US,12/3/2015,FIXED,A-,A3
EOG Resources Inc,EOG,3.9,4/1/2035,5.0390827,5.0390827,CALLABLE,500000000,USD,US,3/12/2015,FIXED,A-,A3 /*-
Alabama Power Co,SO,3.75,3/1/2045,4.1380098,4.1380098,CALLABLE,725000000,USD,US,3/5/2015,FIXED,A-,A1
Anheuser-Busch Cos LLC,ABIBB,6.45,9/1/2037,4.9507557,4.9507557,AT MATURITY,500000000,USD,US,8/21/2007,FIXED,A-,A2 /*-
American International Group Inc,AIG,4.375,1/15/2055,5.6505576,5.6505576,CALLABLE,800000000,USD,US,1/12/2015,FIXED,A-,Baa1
Atmos Energy Corp,ATO,4.125,10/15/2044,4.2390294,4.2390294,CALLABLE,500000000,USD,US,10/6/2014,FIXED,A-,A2
Atmos Energy Corp,ATO,4.125,10/15/2044,4.2390294,4.2390294,CALLABLE,500000000,USD,US,10/6/2014,FIXED,A-,A2
