Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
Chevron Corp,CVX,1.718,6/24/2018,1.7718207,1.7718207,CALLABLE,2000000000,USD,US,6/17/2013,FIXED,AA,Aa1
Pfizer Inc,PFE,6.2,3/15/2019,1.7179602,1.7179602,AT MATURITY,3250000000,USD,US,3/17/2009,FIXED,AA /*-,A1
Pfizer Inc,PFE,6.2,3/15/2019,1.7179602,1.7179602,AT MATURITY,3250000000,USD,US,3/17/2009,FIXED,AA /*-,A1
Wal-Mart Stores Inc,WMT,3.3,4/22/2024,2.6426378,2.62494354,CALLABLE,1500000000,USD,US,4/15/2014,FIXED,AA,Aa2
Wal-Mart Stores Inc,WMT,3.3,4/22/2024,2.6426378,2.62494354,CALLABLE,1500000000,USD,US,4/15/2014,FIXED,AA,Aa2
Chevron Corp,CVX,3.326,11/17/2025,3.3270421,3.3270421,CALLABLE,750000000,USD,US,11/9/2015,FIXED,AA,Aa1
Chevron Corp,CVX,3.326,11/17/2025,3.3270421,3.3270421,CALLABLE,750000000,USD,US,11/9/2015,FIXED,AA,Aa1
Coca-Cola Co/The,KO,2.875,10/27/2025,2.8008801,2.8008801,AT MATURITY,1750000000,USD,US,10/22/2015,FIXED,AA,Aa3
Coca-Cola Co/The,KO,2.875,10/27/2025,2.8008801,2.8008801,AT MATURITY,1750000000,USD,US,10/22/2015,FIXED,AA,Aa3
Wal-Mart Stores Inc,WMT,5.25,9/1/2035,3.9379092,3.9379092,AT MATURITY,2500000000,USD,US,8/24/2005,FIXED,AA,Aa2
Google Inc,GOOG,3.375,2/25/2024,2.4359675,2.4359675,AT MATURITY,1000000000,USD,US,2/20/2014,FIXED,AA,Aa2
Pfizer Inc,PFE,3.4,5/15/2024,2.8204895,2.8204895,AT MATURITY,1000000000,USD,US,5/12/2014,FIXED,AA /*-,A1
Pfizer Inc,PFE,3.4,5/15/2024,2.8204895,2.8204895,AT MATURITY,1000000000,USD,US,5/12/2014,FIXED,AA /*-,A1
Coca-Cola Co/The,KO,3.15,11/15/2020,1.8298133,1.8298133,AT MATURITY,1000000000,USD,US,11/4/2010,FIXED,AA,Aa3
Merck & Co Inc,MRK,2.75,2/10/2025,2.8671084,2.8671084,CALLABLE,2500000000,USD,US,2/5/2015,FIXED,AA,A1
Merck & Co Inc,MRK,2.75,2/10/2025,2.8671084,2.8671084,CALLABLE,2500000000,USD,US,2/5/2015,FIXED,AA,A1
Google Inc,GOOG,3.625,5/19/2021,2.0803164,2.0803164,AT MATURITY,1000000000,USD,US,5/16/2011,FIXED,AA,Aa2
Berkshire Hathaway Finance Corp,BRK,4.25,1/15/2021,2.2137548,2.2137548,AT MATURITY,750000000,USD,US,1/3/2011,FIXED,AA /*-,Aa2
Merck & Co Inc,MRK,2.35,2/10/2022,2.353007,2.353007,AT MATURITY,1250000000,USD,US,2/5/2015,FIXED,AA,A1
Chevron Corp,CVX,2.355,12/5/2022,3.1470967,3.1470967,CALLABLE,2000000000,USD,US,11/28/2012,FIXED,AA,Aa1
Wal-Mart Stores Inc,WMT,4.3,4/22/2044,4.066022,4.0638091,CALLABLE,1000000000,USD,US,4/15/2014,FIXED,AA,Aa2
Wal-Mart Stores Inc,WMT,4.3,4/22/2044,4.066022,4.0638091,CALLABLE,1000000000,USD,US,4/15/2014,FIXED,AA,Aa2
Coca-Cola Co/The,KO,1.65,11/1/2018,1.1209182,1.1209182,AT MATURITY,1250000000,USD,US,10/29/2013,FIXED,AA,Aa3
Coca-Cola Co/The,KO,1.65,11/1/2018,1.1209182,1.1209182,AT MATURITY,1250000000,USD,US,10/29/2013,FIXED,AA,Aa3
Chevron Corp,CVX,2.411,3/3/2022,2.8753992,2.8753992,CALLABLE,700000000,USD,US,2/24/2015,FIXED,AA,Aa1
Coca-Cola Co/The,KO,2.45,11/1/2020,1.7154715,1.7154715,AT MATURITY,1250000000,USD,US,10/29/2013,FIXED,AA,Aa3
Chevron Corp,CVX,3.191,6/24/2023,3.1090762,3.10691633,CALLABLE,2250000000,USD,US,6/17/2013,FIXED,AA,Aa1
Coca-Cola Co/The,KO,3.2,11/1/2023,2.432731,2.432731,AT MATURITY,1500000000,USD,US,10/29/2013,FIXED,AA,Aa3
Chevron Corp,CVX,2.419,11/17/2020,2.5810258,2.5810258,CALLABLE,1250000000,USD,US,11/9/2015,FIXED,AA,Aa1
Chevron Corp,CVX,2.419,11/17/2020,2.5810258,2.5810258,CALLABLE,1250000000,USD,US,11/9/2015,FIXED,AA,Aa1
Chevron Corp,CVX,1.79,11/16/2018,1.835911,1.835911,AT MATURITY,1250000000,USD,US,11/9/2015,FIXED,AA,Aa1
Chevron Corp,CVX,1.79,11/16/2018,1.835911,1.835911,AT MATURITY,1250000000,USD,US,11/9/2015,FIXED,AA,Aa1
Wal-Mart Stores Inc,WMT,3.25,10/25/2020,1.7457895,1.7457895,AT MATURITY,1750000000,USD,US,10/18/2010,FIXED,AA,Aa2
Pfizer Inc,PFE,2.1,5/15/2019,1.3774354,1.3774354,AT MATURITY,1500000000,USD,US,5/12/2014,FIXED,AA /*-,A1
Pfizer Inc,PFE,3,6/15/2023,2.5759436,2.5759436,AT MATURITY,1000000000,USD,US,5/28/2013,FIXED,AA /*-,A1
Merck & Co Inc,MRK,1.85,2/10/2020,1.5724856,1.5724856,AT MATURITY,1250000000,USD,US,2/5/2015,FIXED,AA,A1
Merck & Co Inc,MRK,1.85,2/10/2020,1.5724856,1.5724856,AT MATURITY,1250000000,USD,US,2/5/2015,FIXED,AA,A1
Berkshire Hathaway Inc,BRK,1.9,1/31/2017,1.0094795,1.0094795,AT MATURITY,1100000000,USD,US,1/24/2012,FIXED,AA /*-,Aa2
Chevron Corp,CVX,1.961,3/3/2020,2.3236947,2.3236947,CALLABLE,1750000000,USD,US,2/24/2015,FIXED,AA,Aa1
Wal-Mart Stores Inc,WMT,2.55,4/11/2023,2.4930076,2.49139673,CALLABLE,1750000000,USD,US,4/4/2013,FIXED,AA,Aa2
Wal-Mart Stores Inc,WMT,4.25,4/15/2021,1.9122287,1.9122287,AT MATURITY,1000000000,USD,US,4/11/2011,FIXED,AA,Aa2
Pfizer Inc,PFE,5.8,8/12/2023,2.8680157,2.8680157,AT MATURITY,342004000,USD,US,9/25/2015,FIXED,AA /*-,A1
Chevron Corp,CVX,1.104,12/5/2017,1.2480172,1.2480172,CALLABLE,2000000000,USD,US,11/28/2012,FIXED,AA,Aa1
Google Inc,GOOG,2.125,5/19/2016,1.2591350097,1.2591350097,AT MATURITY,1000000000,USD,US,5/16/2011,FIXED,AA,Aa2
Merck & Co Inc,MRK,3.7,2/10/2045,4.0729937,4.0729937,CALLABLE,2000000000,USD,US,2/5/2015,FIXED,AA,A1
Merck & Co Inc,MRK,3.7,2/10/2045,4.0729937,4.0729937,CALLABLE,2000000000,USD,US,2/5/2015,FIXED,AA,A1
Roche Holdings Inc,ROSW,3,11/10/2025,2.8756079,2.87303625,CALLABLE,1000000000,USD,US,11/2/2015,FIXED,AA,A1
Coca-Cola Co/The,KO,1.875,10/27/2020,1.6910349,1.6910349,AT MATURITY,1500000000,USD,US,10/22/2015,FIXED,AA,Aa3
