Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
AT&T Inc,T,4.75,5/15/2046,5.5550211,5.5550211,CALLABLE,3500000000,USD,US,4/23/2015,FIXED,BBB+,Baa1
AT&T Inc,T,4.75,5/15/2046,5.5550211,5.5550211,CALLABLE,3500000000,USD,US,4/23/2015,FIXED,BBB+,Baa1
Verizon Communications Inc,VZ,6.55,9/15/2043,5.4529879,5.4529879,AT MATURITY,15000000000,USD,US,9/11/2013,FIXED,BBB+,Baa1
Verizon Communications Inc,VZ,6.55,9/15/2043,5.4529879,5.4529879,AT MATURITY,15000000000,USD,US,9/11/2013,FIXED,BBB+,Baa1
Devon Energy Corp,DVN,5,6/15/2045,8.0521144,8.0521144,CALLABLE,750000000,USD,US,6/11/2015,FIXED,BBB+,Baa1 /*-
Devon Energy Corp,DVN,5,6/15/2045,8.0521144,8.0521144,CALLABLE,750000000,USD,US,6/11/2015,FIXED,BBB+,Baa1 /*-
Verizon Communications Inc,VZ,4.4,11/1/2034,5.1119991,5.1119991,CALLABLE,2500000000,USD,US,10/22/2014,FIXED,BBB+,Baa1
Diamond Offshore Drilling Inc,DO,4.875,11/1/2043,9.2649434,9.2649434,CALLABLE,750000000,USD,US,10/31/2013,FIXED,BBB+,Baa2 /*-
Diamond Offshore Drilling Inc,DO,5.7,10/15/2039,8.9132428,8.9132428,AT MATURITY,500000000,USD,US,10/5/2009,FIXED,BBB+,Baa2 /*-
Verizon Communications Inc,VZ,4.862,8/21/2046,5.3360165,5.3360165,AT MATURITY,4500038000,USD,US,2/11/2015,FIXED,BBB+,Baa1
Devon Energy Corp,DVN,5.6,7/15/2041,8.9990695,8.9990695,CALLABLE,1250000000,USD,US,7/5/2011,FIXED,BBB+,Baa1 /*-
Lockheed Martin Corp,LMT,4.7,5/15/2046,4.3854615,4.3829969,CALLABLE,2000000000,USD,US,11/16/2015,FIXED,BBB+,Baa1
Lockheed Martin Corp,LMT,4.7,5/15/2046,4.3854615,4.3829969,CALLABLE,2000000000,USD,US,11/16/2015,FIXED,BBB+,Baa1
CVS Health Corp,CVS,5.125,7/20/2045,4.4911802,4.4862284,CALLABLE,3500000000,USD,US,7/13/2015,FIXED,BBB+,Baa1
CVS Health Corp,CVS,5.125,7/20/2045,4.4911802,4.4862284,CALLABLE,3500000000,USD,US,7/13/2015,FIXED,BBB+,Baa1
Macy's Retail Holdings Inc,M,6.375,3/15/2037,6.4110661,6.4110661,AT MATURITY,500000000,USD,US,3/7/2007,FIXED,BBB+ /*-,Baa2
Macy's Retail Holdings Inc,M,6.375,3/15/2037,6.4110661,6.4110661,AT MATURITY,500000000,USD,US,3/7/2007,FIXED,BBB+ /*-,Baa2
Apache Corp,APA,4.25,1/15/2044,6.6649629,6.6649629,CALLABLE,800000000,USD,US,11/28/2012,FIXED,BBB+,Baa1 /*-
Devon Financing Corp LLC,DVN,7.875,9/30/2031,9.3480006,9.3480006,AT MATURITY,1250000000,USD,US,#N/A Field Not Applicable,FIXED,BBB+,Baa1 /*-
AT&T Inc,T,4.5,5/15/2035,5.2480442,5.2480442,CALLABLE,2500000000,USD,US,4/23/2015,FIXED,BBB+,Baa1
Johnson Controls Inc,JCI,4.625,7/2/2044,5.1950051,5.1950051,CALLABLE,450000000,USD,US,6/10/2014,FIXED,BBB+ /*,Baa2
Johnson Controls Inc,JCI,4.625,7/2/2044,5.1950051,5.1950051,CALLABLE,450000000,USD,US,6/10/2014,FIXED,BBB+ /*,Baa2
Devon Energy Corp,DVN,7.95,4/15/2032,9.3121119,9.3121119,AT MATURITY,1000000000,USD,US,3/20/2002,FIXED,BBB+,Baa1 /*-
21st Century Fox America Inc,FOXA,4.95,10/15/2045,5.162978,5.162978,CALLABLE,400000000,USD,US,12/10/2015,FIXED,BBB+,Baa1
Celgene Corp,CELG,5,8/15/2045,5.0120151,5.0120151,CALLABLE,2000000000,USD,US,8/3/2015,FIXED,BBB+,Baa2
Celgene Corp,CELG,5,8/15/2045,5.0120151,5.0120151,CALLABLE,2000000000,USD,US,8/3/2015,FIXED,BBB+,Baa2
Apache Corp,APA,4.75,4/15/2043,6.9681316,6.9681316,CALLABLE,1500000000,USD,US,4/3/2012,FIXED,BBB+,Baa1 /*-
Apache Corp,APA,4.75,4/15/2043,6.9681316,6.9681316,CALLABLE,1500000000,USD,US,4/3/2012,FIXED,BBB+,Baa1 /*-
Monsanto Co,MON,4.2,7/15/2034,5.3656351433,5.3656351433,CALLABLE,500000000,USD,US,6/26/2014,FIXED,BBB+,A3
AT&T Inc,T,4.3,12/15/2042,5.4734608,5.4734608,CALLABLE,1955149000,USD,US,5/15/2013,FIXED,BBB+,Baa1
Goldman Sachs Group Inc/The,GS,4.75,10/21/2045,4.7790289,4.7790289,CALLABLE,1750000000,USD,US,10/16/2015,FIXED,BBB+,A3
Goldman Sachs Group Inc/The,GS,4.75,10/21/2045,4.7790289,4.7790289,CALLABLE,1750000000,USD,US,10/16/2015,FIXED,BBB+,A3
Citigroup Inc,C,4.65,7/30/2045,4.7170132,4.7170132,AT MATURITY,1250000000,USD,US,7/23/2015,FIXED,BBB+,Baa1
Citigroup Inc,C,4.65,7/30/2045,4.7170132,4.7170132,AT MATURITY,1250000000,USD,US,7/23/2015,FIXED,BBB+,Baa1
AT&T Inc,T,5.35,9/1/2040,5.6380622,5.6380622,AT MATURITY,3499738000,USD,US,4/13/2011,FIXED,BBB+,Baa1
Enterprise Products Operating LLC,EPD,4.9,5/15/2046,6.2115974,6.2115974,CALLABLE,875000000,USD,US,5/4/2015,FIXED,BBB+,Baa1
Enterprise Products Operating LLC,EPD,4.9,5/15/2046,6.2115974,6.2115974,CALLABLE,875000000,USD,US,5/4/2015,FIXED,BBB+,Baa1
Bed Bath & Beyond Inc,BBBY,5.165,8/1/2044,6.2623946,6.2623946,CALLABLE,900000000,USD,US,7/14/2014,FIXED,BBB+,Baa1
Verizon Communications Inc,VZ,5.012,8/21/2054,5.7149699,5.7149699,AT MATURITY,5500001000,USD,US,2/11/2015,FIXED,BBB+,Baa1
Macy's Retail Holdings Inc,M,4.3,2/15/2043,6.1971414,6.1971414,CALLABLE,250000000,USD,US,11/14/2012,FIXED,BBB+ /*-,Baa2
BellSouth LLC,T,6,11/15/2034,5.6463405,5.6463405,AT MATURITY,700000000,USD,US,11/8/2004,FIXED,BBB+,WR
Apache Corp,APA,6,1/15/2037,7.4480624,7.4480624,AT MATURITY,1000000000,USD,US,1/23/2007,FIXED,BBB+,Baa1 /*-
Apache Corp,APA,5.1,9/1/2040,7.2650124,7.2650124,CALLABLE,1500000000,USD,US,8/17/2010,FIXED,BBB+,Baa1 /*-
JPMorgan Chase & Co,JPM,4.95,6/1/2045,4.9190525,4.9190525,AT MATURITY,1750000000,USD,US,5/21/2015,FIXED,BBB+,Baa1
Burlington Northern Santa Fe LLC,BNSF,4.15,4/1/2045,4.5750297,4.5750297,CALLABLE,1000000000,USD,US,3/4/2015,FIXED,BBB+,A3
American Express Co,AXP,4.05,12/3/2042,4.3010313,4.3010313,AT MATURITY,1049800000,USD,US,1/28/2013,FIXED,BBB+,A3
American Express Co,AXP,4.05,12/3/2042,4.3010313,4.3010313,AT MATURITY,1049800000,USD,US,1/28/2013,FIXED,BBB+,A3
Southern Power Co,SO,5.15,9/15/2041,5.7014702,5.7014702,AT MATURITY,575000000,USD,US,9/14/2011,FIXED,BBB+,Baa1
eBay Inc,EBAY,4,7/15/2042,5.7349902,5.7349902,CALLABLE,750000000,USD,US,7/19/2012,FIXED,BBB+,Baa1
eBay Inc,EBAY,4,7/15/2042,5.7349902,5.7349902,CALLABLE,750000000,USD,US,7/19/2012,FIXED,BBB+,Baa1
Enterprise Products Operating LLC,EPD,5.1,2/15/2045,6.2250305,6.2250305,CALLABLE,1150000000,USD,US,2/5/2014,FIXED,BBB+,Baa1
Macy's Retail Holdings Inc,M,6.7,7/15/2034,6.5705741,6.5705741,AT MATURITY,399830000,USD,US,11/12/2004,FIXED,BBB+ /*-,Baa2
Mississippi Power Co,SO,4.25,3/15/2042,5.8943739,5.8943739,AT MATURITY,450000000,USD,US,3/5/2012,FIXED,BBB+,Baa3
General Mills Inc,GIS,4.15,2/15/2043,4.2890672,4.2890672,CALLABLE,500000000,USD,US,1/28/2013,FIXED,BBB+,A3
General Mills Inc,GIS,4.15,2/15/2043,4.2890672,4.2890672,CALLABLE,500000000,USD,US,1/28/2013,FIXED,BBB+,A3
Devon Energy Corp,DVN,4.75,5/15/2042,8.0043276,8.0043276,CALLABLE,750000000,USD,US,5/7/2012,FIXED,BBB+,Baa1 /*-
Goldman Sachs Group Inc/The,GS,6.125,2/15/2033,4.7289679,4.7289679,AT MATURITY,2350000000,USD,US,2/6/2003,FIXED,BBB+,A3
AT&T Inc,T,4.8,6/15/2044,5.4039878,5.4039878,CALLABLE,2000000000,USD,US,6/3/2014,FIXED,BBB+,Baa1
Goldman Sachs Group Inc/The,GS,6.25,2/1/2041,5.0080204,5.0080204,AT MATURITY,2500000000,USD,US,1/21/2011,FIXED,BBB+,A3
Altria Group Inc,MO,5.375,1/31/2044,4.7779739,4.7779739,AT MATURITY,1800000000,USD,US,10/28/2013,FIXED,BBB+,Baa1
Altria Group Inc,MO,5.375,1/31/2044,4.7779739,4.7779739,AT MATURITY,1800000000,USD,US,10/28/2013,FIXED,BBB+,Baa1
Johnson Controls Inc,JCI,4.95,7/2/2064,5.7250256,5.7250256,CALLABLE,450000000,USD,US,6/10/2014,FIXED,BBB+ /*,Baa2
ITC Holdings Corp,ITC,5.3,7/1/2043,4.8725594,4.8688949,CALLABLE,300000000,USD,US,6/26/2013,FIXED,BBB+,Baa2
Monsanto Co,MON,4.7,7/15/2064,6.2618604,6.2618604,CALLABLE,750000000,USD,US,6/26/2014,FIXED,BBB+,A3
Citigroup Inc,C,8.125,7/15/2039,4.7347623,4.7347623,AT MATURITY,2500000000,USD,US,7/20/2009,FIXED,BBB+,Baa1
Burlington Northern Santa Fe LLC,BNSF,4.7,9/1/2045,4.5936488,4.5927895,CALLABLE,650000000,USD,US,8/13/2015,FIXED,BBB+,A3
Burlington Northern Santa Fe LLC,BNSF,4.7,9/1/2045,4.5936488,4.5927895,CALLABLE,650000000,USD,US,8/13/2015,FIXED,BBB+,A3
BorgWarner Inc,BWA,4.375,3/15/2045,5.0911035,5.0911035,CALLABLE,500000000,USD,US,3/9/2015,FIXED,BBB+,Baa1
Verizon Communications Inc,VZ,4.272,1/15/2036,5.1299614,5.1299614,AT MATURITY,2867154000,USD,US,7/24/2015,FIXED,BBB+,Baa1
Duke Energy Corp,DUK,4.8,12/15/2045,4.6580976,4.6569889,CALLABLE,600000000,USD,US,11/16/2015,FIXED,BBB+,Baa1
Teva Pharmaceutical Finance Co LLC,TEVA,6.15,2/1/2036,5.2728923,5.2728923,AT MATURITY,1000000000,USD,US,1/27/2006,FIXED,BBB+ /*-,Baa1 /*-
Verizon Communications Inc,VZ,4.522,9/15/2048,5.3620093,5.3620093,AT MATURITY,4999958000,USD,US,7/24/2015,FIXED,BBB+,Baa1
Enterprise Products Operating LLC,EPD,4.85,3/15/2044,6.4758705,6.4758705,CALLABLE,1400000000,USD,US,3/11/2013,FIXED,BBB+,Baa1
CVS Health Corp,CVS,4.875,7/20/2035,4.5521242,4.5469329,CALLABLE,2000000000,USD,US,7/13/2015,FIXED,BBB+,Baa1
Phillips 66,PSX,4.65,11/15/2034,5.4650741,5.4650741,CALLABLE,1000000000,USD,US,11/12/2014,FIXED,BBB+,A3
Southern Power Co,SO,5.25,7/15/2043,5.551933,5.551933,AT MATURITY,300000000,USD,US,7/10/2013,FIXED,BBB+,Baa1
Verizon Communications Inc,VZ,6.4,9/15/2033,5.2566942,5.2566942,AT MATURITY,6000000000,USD,US,9/11/2013,FIXED,BBB+,Baa1
