Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
Freeport-McMoRan Inc,FCX,3.55,3/1/2022,20.3594516,20.3594516,CALLABLE,2000000000,USD,US,2/8/2012,FIXED,BBB-,B1
Freeport-McMoRan Inc,FCX,2.375,3/15/2018,24.9921051,24.9921051,AT MATURITY,1499700000,USD,US,9/9/2013,FIXED,BBB-,B1
Continental Resources Inc/OK,CLR,5,9/15/2022,11.5620104,11.5620104,CALLABLE,2000000000,USD,US,7/1/2012,FIXED,BBB-,Baa3 /*-
Freeport-McMoRan Inc,FCX,2.15,3/1/2017,20.1626932,20.1626932,AT MATURITY,500000000,USD,US,2/8/2012,FIXED,BBB-,B1
Gap Inc/The,GPS,5.95,4/12/2021,4.9966368,4.95695829,CALLABLE,1250000000,USD,US,4/7/2011,FIXED,BBB-,Baa2
Alcoa Inc,AA,5.4,4/15/2021,7.6892764,7.6892764,CALLABLE,1250000000,USD,US,4/13/2011,FIXED,BBB-,Ba1 /*-
Alcoa Inc,AA,5.4,4/15/2021,7.6892764,7.6892764,CALLABLE,1250000000,USD,US,4/13/2011,FIXED,BBB-,Ba1 /*-
Freeport-McMoRan Inc,FCX,4.55,11/14/2024,17.6049583,17.6049583,CALLABLE,850000000,USD,US,11/10/2014,FIXED,BBB-,B1
Freeport-McMoRan Inc,FCX,4.55,11/14/2024,17.6049583,17.6049583,CALLABLE,850000000,USD,US,11/10/2014,FIXED,BBB-,B1
Transcontinental Gas Pipe Line Co LLC,WPZ,7.85,2/1/2026,7.2438454,7.23467248,CALLABLE,1000000000,USD,US,1/19/2016,FIXED,BBB- /*-,Baa2
Joy Global Inc,JOY,5.125,10/15/2021,12.8149043,12.8149043,AT MATURITY,500000000,USD,US,10/6/2011,FIXED,BBB-,Ba3
Kinder Morgan Inc/DE,KMI,4.3,6/1/2025,6.268985,6.268985,CALLABLE,1500000000,USD,US,11/24/2014,FIXED,BBB-,Baa3
Freeport-McMoRan Inc,FCX,2.3,11/14/2017,24.9213607,24.9213607,AT MATURITY,750000000,USD,US,11/10/2014,FIXED,BBB-,B1
Freeport-McMoRan Inc,FCX,4,11/14/2021,21.6811392,21.6811392,AT MATURITY,600000000,USD,US,11/10/2014,FIXED,BBB-,B1
Williams Partners LP / ACMP Finance Corp,WPZ,4.875,5/15/2023,9.2894372,9.2894372,CALLABLE,1400000000,USD,US,12/12/2012,FIXED,BBB- /*-,Baa3
Freeport-McMoRan Inc,FCX,5.45,3/15/2043,14.4454734,14.4454734,CALLABLE,1999800000,USD,US,9/9/2013,FIXED,BBB-,B1
Freeport-McMoRan Inc,FCX,5.45,3/15/2043,14.4454734,14.4454734,CALLABLE,1999800000,USD,US,9/9/2013,FIXED,BBB-,B1
Alcoa Inc,AA,5.125,10/1/2024,8.0500898,8.0500898,CALLABLE,1250000000,USD,US,9/17/2014,FIXED,BBB-,Ba1 /*-
Alcoa Inc,AA,5.125,10/1/2024,8.0500898,8.0500898,CALLABLE,1250000000,USD,US,9/17/2014,FIXED,BBB-,Ba1 /*-
Freeport-McMoRan Inc,FCX,3.1,3/15/2020,23.827997,23.827997,AT MATURITY,998265000,USD,US,9/9/2013,FIXED,BBB-,B1
Freeport-McMoRan Inc,FCX,3.1,3/15/2020,23.827997,23.827997,AT MATURITY,998265000,USD,US,9/9/2013,FIXED,BBB-,B1
Southwestern Energy Co,SWN,7.5,2/1/2018,16.9954191,16.9954191,AT MATURITY,600000000,USD,US,1/11/2008,FIXED,BBB-,Baa3 /*-
Freeport-McMoRan Inc,FCX,3.875,3/15/2023,19.5857695,19.5857695,CALLABLE,1998776000,USD,US,9/9/2013,FIXED,BBB-,B1
