Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
Glencore Funding LLC,GLENLN,2.5,1/15/2019,12.2255224,12.2255224,AT MATURITY,1500000000,USD,US,5/22/2013,FIXED,BBB,Baa3
Marathon Oil Corp,MRO,5.9,3/15/2018,9.9522438,9.9522438,AT MATURITY,1000000000,USD,US,3/12/2008,FIXED,BBB,Baa1 /*-
Murphy Oil Corp,MUR,2.5,12/1/2017,11.5323959,11.5323959,AT MATURITY,550000000,USD,US,11/27/2012,FIXED,BBB,Baa3 /*-
Hess Corp,HES,8.125,2/15/2019,6.8437014,6.8437014,AT MATURITY,1000000000,USD,US,1/29/2009,FIXED,BBB,Baa2 /*-
Hess Corp,HES,8.125,2/15/2019,6.8437014,6.8437014,AT MATURITY,1000000000,USD,US,1/29/2009,FIXED,BBB,Baa2 /*-
Anadarko Petroleum Corp,APC,6.375,9/15/2017,5.322458,5.322458,AT MATURITY,2000000000,USD,US,8/9/2010,FIXED,BBB,Baa2 /*-
Kroger Co/The,KR,2,1/15/2019,1.7025818,1.7025818,AT MATURITY,300000000,USD,US,1/8/2016,FIXED,BBB,Baa2
Kroger Co/The,KR,2,1/15/2019,1.7025818,1.7025818,AT MATURITY,300000000,USD,US,1/8/2016,FIXED,BBB,Baa2
Pride International Inc,ESV,8.5,6/15/2019,15.3235278,15.3235278,AT MATURITY,500000000,USD,US,5/28/2009,FIXED,BBB,Baa2 /*-
Marathon Oil Corp,MRO,6,10/1/2017,6.1545411,6.1545411,AT MATURITY,750000000,USD,US,9/20/2007,FIXED,BBB,Baa1 /*-
Black Hills Corp,BKH,2.5,1/11/2019,2.2770826,2.2770826,AT MATURITY,250000000,USD,US,1/8/2016,FIXED,BBB,Baa1
Black Hills Corp,BKH,2.5,1/11/2019,2.2770826,2.2770826,AT MATURITY,250000000,USD,US,1/8/2016,FIXED,BBB,Baa1
Glencore Funding LLC,GLENLN,3.125,4/29/2019,12.3318085,12.3318085,AT MATURITY,1000000000,USD,US,4/22/2014,FIXED,BBB,Baa3
Noble Holding US Corp/Noble Drilling Services 6 LLC / Noble Drilling Holding LLC,NE,7.5,3/15/2019,15.3600816,15.3600816,AT MATURITY,250000000,USD,US,3/11/1999,FIXED,BBB,Baa3 /*-
Glencore Funding LLC,GLENLN,2.5,1/15/2019,12.3570892,12.3570892,AT MATURITY,1500000000,USD,US,5/22/2013,FIXED,BBB,Baa3
Glencore Funding LLC,GLENLN,2.125,4/16/2018,10.4394561,10.4394561,AT MATURITY,500000000,USD,US,4/8/2015,FIXED,BBB,Baa3
Walgreens Boots Alliance Inc,WBA,2.7,11/18/2019,2.4796943,2.47528832,CALLABLE,1250000000,USD,US,11/6/2014,FIXED,BBB,Baa2 /*-
Ares Capital Corp,ARCC,4.875,11/30/2018,3.4515329,3.4515329,AT MATURITY,750000000,USD,US,11/14/2013,FIXED,BBB,#N/A N/A
EnLink Midstream Partners LP,ENLK,2.7,4/1/2019,10.7086619,10.7086619,CALLABLE,400000000,USD,US,3/12/2014,FIXED,BBB,Baa3 /*-
Dow Chemical Co/The,DOW,8.55,5/15/2019,2.6241281,2.6241281,AT MATURITY,3250000000,USD,US,5/7/2009,FIXED,BBB /*,Baa2
Dow Chemical Co/The,DOW,8.55,5/15/2019,2.6241281,2.6241281,AT MATURITY,3250000000,USD,US,5/7/2009,FIXED,BBB /*,Baa2
