Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
Apple Inc,AAPL,4.375,5/13/2045,4.4888011,4.4888011,AT MATURITY,2000000000,USD,US,5/6/2015,FIXED,AA+,Aa1
Apple Inc,AAPL,4.375,5/13/2045,4.4888011,4.4888011,AT MATURITY,2000000000,USD,US,5/6/2015,FIXED,AA+,Aa1
Apple Inc,AAPL,3.85,5/4/2043,4.4779954,4.4779954,AT MATURITY,3000000000,USD,US,4/30/2013,FIXED,AA+,Aa1
Apple Inc,AAPL,3.45,2/9/2045,4.4357031,4.4357031,AT MATURITY,2000000000,USD,US,2/2/2015,FIXED,AA+,Aa1
Federal Home Loan Banks,FHLB,3.45,2/3/2031,3.4371178,2.8457314,CALLABLE,34000000,USD,US,1/13/2016,FIXED,AA+,Aaa
General Electric Co,GE,4.125,10/9/2042,4.1622696,4.1622696,AT MATURITY,2000000000,USD,US,10/1/2012,FIXED,AA+,A1
General Electric Co,GE,4.5,3/11/2044,4.2599839,4.2599839,AT MATURITY,2250000000,USD,US,3/6/2014,FIXED,AA+,A1
Apple Inc,AAPL,4.45,5/6/2044,4.4898748,4.4898748,AT MATURITY,1000000000,USD,US,4/29/2014,FIXED,AA+,Aa1
Tennessee Valley Authority,TVA,4.25,9/15/2065,4.0791146,4.0791146,AT MATURITY,1000000000,USD,US,9/21/2015,FIXED,AA+,Aaa
Federal Home Loan Mortgage Corp,FHLMC,4.125,10/11/2033,3.7699031,2.3690331,CALLABLE,300000000,USD,US,9/17/2013,FIXED,AA+,Aaa
Federal Home Loan Banks,FHLB,5.5,7/15/2036,3.2655429,3.2655429,AT MATURITY,1500000000,USD,US,7/14/2006,FIXED,AA+,Aaa
Federal National Mortgage Association,FNMA,6,4/18/2036,5.8911991,0.00766492,CALLABLE,1600000000,USD,US,4/7/2006,FIXED,AA+,Aaa
Tennessee Valley Authority,TVA,5.25,9/15/2039,3.7225147,3.7225147,AT MATURITY,2000000000,USD,US,9/15/2009,FIXED,AA+,Aaa
Federal Home Loan Banks,FHLB,3.5,2/8/2036,3.5069988,3.5069988,CALLABLE,57000000,USD,US,1/20/2016,FIXED,AA+,Aaa
Federal National Mortgage Association,FNMA,6.21,6/5/2036,5.6524834,1.1756463,CALLABLE,140000000,USD,US,5/31/2006,FIXED,AA+,Aaa
Federal Home Loan Mortgage Corp,FHLMC,6.75,3/15/2031,2.7757316,2.7757316,AT MATURITY,6000000000,USD,US,10/19/2000,FIXED,AA+,Aaa
Federal Farm Credit Banks,FFCB,3.5,2/1/2036,3.4132329,2.2255415,CALLABLE,27000000,USD,US,1/25/2016,FIXED,AA+,Aaa
Federal Home Loan Banks,FHLB,3.4,1/29/2031,3.4042659,3.4042659,CALLABLE,15000000,USD,US,1/25/2016,FIXED,AA+,Aaa
Federal Home Loan Banks,FHLB,3.6,1/29/2036,3.500003,0.68358581,CALLABLE,10000000,USD,US,1/15/2016,FIXED,AA+,Aaa
Federal National Mortgage Association,FNMA,3,10/18/2032,3.2733573,3.2733573,CALLABLE,50000000,USD,US,9/19/2012,FIXED,AA+,Aaa
Federal Farm Credit Banks,FFCB,3.54,1/25/2036,3.542067,3.542067,CALLABLE,40000000,USD,US,1/15/2016,FIXED,AA+,Aaa
Federal National Mortgage Association,FNMA,6.21,8/6/2038,3.3018566,3.3018566,AT MATURITY,769927000,USD,US,7/29/1998,FIXED,AA+,Aaa
Amherst College,AMHERS,4.1,11/1/2045,3.9318025,3.9318025,AT MATURITY,150000000,USD,US,12/9/2015,FIXED,AA+,Aaae
Federal Home Loan Banks,FHLB,3.12,12/27/2032,3.3271745,3.3271745,CALLABLE,30000000,USD,US,12/12/2012,FIXED,AA+,Aaa
Federal National Mortgage Association,FNMA,3.25,7/26/2032,3.3460655,3.3460655,CALLABLE,150000000,USD,US,7/6/2012,FIXED,AA+,Aaa
Tennessee Valley Authority,TVA,6.235,7/15/2045,5.082588,2.0975864,CALL/PUT,500000000,USD,US,7/18/1995,FIXED,AA+,Aaa
Federal National Mortgage Association,FNMA,3,8/20/2032,3.1048527,3.1048527,CALLABLE,100000000,USD,US,7/23/2012,FIXED,AA+,Aaa
