Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
ConocoPhillips,COP,6.5,2/1/2039,6.5942026,6.5942026,AT MATURITY,2750000000,USD,US,1/29/2009,FIXED,A,A2 /*-
ConocoPhillips,COP,6.5,2/1/2039,6.5942026,6.5942026,AT MATURITY,2750000000,USD,US,1/29/2009,FIXED,A,A2 /*-
ConocoPhillips Co,COP,4.3,11/15/2044,6.0610093,6.0610093,CALLABLE,750000000,USD,US,11/6/2014,FIXED,A,A2 /*-
Halliburton Co,HAL,5,11/15/2045,5.8149761,5.8149761,CALLABLE,2000000000,USD,US,11/5/2015,FIXED,A,A2 /*-
Halliburton Co,HAL,5,11/15/2045,5.8149761,5.8149761,CALLABLE,2000000000,USD,US,11/5/2015,FIXED,A,A2 /*-
Medtronic Inc,MDT,4.625,3/15/2045,4.3229636,4.3229636,AT MATURITY,3995189000,USD,US,8/4/2015,FIXED,A,A3
Medtronic Inc,MDT,4.625,3/15/2045,4.3229636,4.3229636,AT MATURITY,3995189000,USD,US,8/4/2015,FIXED,A,A3
AbbVie Inc,ABBV,4.7,5/14/2045,4.8079851,4.8079851,CALLABLE,2700000000,USD,US,5/5/2015,FIXED,A,Baa1
Occidental Petroleum Corp,OXY,4.625,6/15/2045,5.1280043,5.1280043,CALLABLE,750000000,USD,US,6/18/2015,FIXED,A,A2 /*-
Occidental Petroleum Corp,OXY,4.625,6/15/2045,5.1280043,5.1280043,CALLABLE,750000000,USD,US,6/18/2015,FIXED,A,A2 /*-
Gilead Sciences Inc,GILD,4.75,3/1/2046,4.6031885,4.6020458,CALLABLE,2250000000,USD,US,9/9/2015,FIXED,A,A3
Gilead Sciences Inc,GILD,4.75,3/1/2046,4.6031885,4.6020458,CALLABLE,2250000000,USD,US,9/9/2015,FIXED,A,A3
ACE INA Holdings Inc,CB,4.35,11/3/2045,4.0644241,4.0619731,CALLABLE,1500000000,USD,US,10/27/2015,FIXED,A,A3
ACE INA Holdings Inc,CB,4.35,11/3/2045,4.0644241,4.0619731,CALLABLE,1500000000,USD,US,10/27/2015,FIXED,A,A3
Anthem Inc,ANTM,2.75,10/15/2042,-0.136413837,-0.136413837,CONVERTIBLE,1500000000,USD,US,10/2/2012,FIXED,A /*-,#N/A N/A
