Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
Apple Inc,AAPL,1,5/3/2018,1.2428808,1.2428808,AT MATURITY,4000000000,USD,US,4/30/2013,FIXED,AA+,Aa1
Apple Inc,AAPL,2.1,5/6/2019,1.4985896,1.4985896,AT MATURITY,2000000000,USD,US,4/29/2014,FIXED,AA+,Aa1
Apple Inc,AAPL,2.1,5/6/2019,1.4985896,1.4985896,AT MATURITY,2000000000,USD,US,4/29/2014,FIXED,AA+,Aa1
General Electric Co,GE,5.25,12/6/2017,1.1823439,1.1823439,AT MATURITY,4000000000,USD,US,11/29/2007,FIXED,AA+,A1
Federal Farm Credit Banks,FFCB,1,1/19/2018,0.9011084,0.9011084,AT MATURITY,215000000,USD,US,1/8/2016,FIXED,AA+,Aaa
Federal Home Loan Banks,FHLB,1.75,12/14/2018,1.0742996,1.0742996,AT MATURITY,2284360000,USD,US,11/1/2011,FIXED,AA+,Aaa
Federal Home Loan Mortgage Corp,FHLMC,1,7/28/2017,0.7881119,0.7881119,AT MATURITY,4500002000,USD,US,6/22/2012,FIXED,AA+,Aaa
Federal Home Loan Mortgage Corp,FHLMC,3.75,3/27/2019,1.1266971,1.1266971,AT MATURITY,4000002000,USD,US,3/26/2009,FIXED,AA+,Aaa
Federal National Mortgage Association,FNMA,0.875,5/21/2018,0.9567484,0.9567484,AT MATURITY,6500000000,USD,US,4/11/2013,FIXED,AA+,Aaa
Federal Farm Credit Banks,FFCB,1.27,1/28/2019,1.2699851,1.26982081,CALLABLE,260000000,USD,US,1/21/2016,FIXED,AA+,Aaa
Federal Home Loan Mortgage Corp,FHLMC,1.25,10/2/2019,1.2454017,1.2454017,AT MATURITY,6000002000,USD,US,9/28/2012,FIXED,AA+,Aaa
Federal Home Loan Banks,FHLB,1.125,12/8/2017,0.8426329,0.8426329,AT MATURITY,1309250000,USD,US,11/6/2014,FIXED,AA+,Aaa
Federal Home Loan Mortgage Corp,FHLMC,0.75,1/12/2018,0.8596155,0.8596155,AT MATURITY,5500000000,USD,US,11/20/2012,FIXED,AA+,Aaa
Apple Inc,AAPL,1.55,2/7/2020,1.7229163703,1.7229163703,AT MATURITY,1250000000,USD,US,2/2/2015,FIXED,AA+,Aa1
Federal National Mortgage Association,FNMA,1.625,1/21/2020,1.2686732,1.2686732,AT MATURITY,3000000000,USD,US,1/8/2015,FIXED,AA+,#N/A N/A
Federal Home Loan Banks,FHLB,1.125,1/29/2018,1.0588524,0.85939544,CALLABLE,100000000,USD,US,1/11/2016,FIXED,AA+,Aaa
Federal Home Loan Banks,FHLB,2,9/14/2018,1.0034132,1.0034132,AT MATURITY,2064600000,USD,US,8/24/2011,FIXED,AA+,Aaa
Federal Farm Credit Banks,FFCB,1.42,7/29/2019,1.4465128,1.4465128,CALLABLE,130000000,USD,US,1/20/2016,FIXED,AA+,Aaa
Federal National Mortgage Association,FNMA,1.3,11/27/2018,1.299824,1.29695576,CALLABLE,500000000,USD,US,10/30/2015,FIXED,AA+,Aaa
Federal National Mortgage Association,FNMA,2,1/29/2019,1.7518927,0.53167654,CALLABLE,100000000,USD,US,1/11/2016,FIXED,AA+,Aaa
Federal National Mortgage Association,FNMA,1.625,4/27/2018,1.5109862,0.56657143,CALLABLE,550000000,USD,US,4/20/2015,FIXED,AA+,Aaa
Federal Farm Credit Banks,FFCB,1.23,1/25/2019,1.1998322,1.1394302,CALLABLE,160000000,USD,US,1/15/2016,FIXED,AA+,Aaa
Federal Home Loan Mortgage Corp,FHLMC,1.125,1/29/2018,1.0456384,0.47869112,CALLABLE,250000000,USD,US,1/13/2016,FIXED,AA+,Aaa
Federal Home Loan Mortgage Corp,FHLMC,1.25,8/1/2019,1.1589976,1.1589976,AT MATURITY,3500000000,USD,US,7/27/2012,FIXED,AA+,Aaa
Federal National Mortgage Association,FNMA,0.875,10/26/2017,0.8032739,0.8032739,AT MATURITY,6000000000,USD,US,9/20/2012,FIXED,AA+,Aaa
