Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
Murphy Oil Corp,MUR,4,6/1/2022,13.0372303,13.0372303,CALLABLE,500000000,USD,US,5/15/2012,FIXED,BBB,Baa3 /*-
Marathon Oil Corp,MRO,2.7,6/1/2020,9.5259222,9.5259222,CALLABLE,600000000,USD,US,6/1/2015,FIXED,BBB,Baa1 /*-
Marathon Oil Corp,MRO,2.7,6/1/2020,9.5259222,9.5259222,CALLABLE,600000000,USD,US,6/1/2015,FIXED,BBB,Baa1 /*-
Marathon Oil Corp,MRO,2.8,11/1/2022,9.4010675,9.4010675,CALLABLE,1000000000,USD,US,10/24/2012,FIXED,BBB,Baa1 /*-
HP Inc,HPQ,4.65,12/9/2021,4.00443,4.00443,AT MATURITY,1500000000,USD,US,12/6/2011,FIXED,BBB,Baa2
Newmont Mining Corp,NEM,3.5,3/15/2022,5.6691079,5.6691079,CALLABLE,1500000000,USD,US,3/5/2012,FIXED,BBB,Baa2 /*-
HP Inc,HPQ,4.375,9/15/2021,4.1457099,4.1457099,AT MATURITY,1000000000,USD,US,9/13/2011,FIXED,BBB,Baa2
HP Inc,HPQ,4.375,9/15/2021,4.1457099,4.1457099,AT MATURITY,1000000000,USD,US,9/13/2011,FIXED,BBB,Baa2
Walgreens Boots Alliance Inc,WBA,3.3,11/18/2021,3.2343181,3.23303034,CALLABLE,1250000000,USD,US,11/6/2014,FIXED,BBB,Baa2 /*-
Kohl's Corp,KSS,4,11/1/2021,3.6426365,3.62888994,CALLABLE,650000000,USD,US,10/12/2011,FIXED,BBB,Baa1
Murphy Oil Corp,MUR,3.7,12/1/2022,13.5504739,13.5504739,CALLABLE,600000000,USD,US,11/27/2012,FIXED,BBB,Baa3 /*-
Kroger Co/The,KR,2.6,2/1/2021,2.3073399,2.3028859,CALLABLE,300000000,USD,US,1/8/2016,FIXED,BBB,Baa2
Kroger Co/The,KR,2.6,2/1/2021,2.3073399,2.3028859,CALLABLE,300000000,USD,US,1/8/2016,FIXED,BBB,Baa2
Noble Energy Inc,NBL,5.625,5/1/2021,6.1287201,6.1287201,CALLABLE,692964000,USD,US,6/29/2015,FIXED,BBB,Baa2 /*-
Delphi Corp,DLPH,5,2/15/2023,4.2525122,3.8689253,CALLABLE,800000000,USD,US,2/11/2013,FIXED,BBB,Baa3
Pride International Inc,ESV,6.875,8/15/2020,17.3991819,17.3991819,AT MATURITY,900000000,USD,US,8/3/2010,FIXED,BBB,Baa2 /*-
Noble Energy Inc,NBL,5.875,6/1/2022,5.6879024,5.5862513,CALLABLE,597436000,USD,US,6/29/2015,FIXED,BBB,Baa2 /*-
HP Inc,HPQ,4.05,9/15/2022,3.8593746,3.8593746,AT MATURITY,500000000,USD,US,3/7/2012,FIXED,BBB,Baa2
Exelon Generation Co LLC,EXC,4,10/1/2020,3.6791875,3.66357903,CALLABLE,550000000,USD,US,9/27/2010,FIXED,BBB,Baa2
HP Inc,HPQ,3.75,12/1/2020,3.1741683,3.1741683,AT MATURITY,1350000000,USD,US,11/29/2010,FIXED,BBB,Baa2
DIRECTV Holdings LLC / DIRECTV Financing Co Inc,DTV,3.8,3/15/2022,3.5819131,3.5819131,AT MATURITY,1493000000,USD,US,4/11/2012,FIXED,BBB,Baa2
Kohl's Corp,KSS,3.25,2/1/2023,4.2509774,4.2509774,CALLABLE,350000000,USD,US,9/18/2012,FIXED,BBB,Baa1
HP Inc,HPQ,4.3,6/1/2021,4.0384698,4.0384698,AT MATURITY,1250000000,USD,US,5/25/2011,FIXED,BBB,Baa2
EQT Corp,EQT,4.875,11/15/2021,7.0218093,7.0218093,AT MATURITY,750000000,USD,US,11/2/2011,FIXED,BBB,Baa3 /*-
Marathon Petroleum Corp,MPC,3.4,12/15/2020,4.0093372,4.0093372,CALLABLE,650000000,USD,US,12/7/2015,FIXED,BBB,Baa2
Enbridge Energy Partners LP,EEP,4.375,10/15/2020,5.5919163,5.5919163,CALLABLE,500000000,USD,US,10/1/2015,FIXED,BBB,Baa3
