Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
Devon Energy Corp,DVN,6.3,1/15/2019,8.7491087,8.7491087,AT MATURITY,700000000,USD,US,1/6/2009,FIXED,BBB+,Baa1 /*-
Bank of America Corp,BAC,2,1/11/2018,2.1051234,2.1051234,AT MATURITY,3000000000,USD,US,1/8/2013,FIXED,BBB+,Baa1
Ecolab Inc,ECL,2,1/14/2019,1.8928494,1.8928494,AT MATURITY,400000000,USD,US,1/11/2016,FIXED,BBB+,Baa1
Ecolab Inc,ECL,2,1/14/2019,1.8928494,1.8928494,AT MATURITY,400000000,USD,US,1/11/2016,FIXED,BBB+,Baa1
Goldman Sachs Group Inc/The,GS,6.15,4/1/2018,2.207314,2.207314,AT MATURITY,4000000000,USD,US,3/25/2008,FIXED,BBB+,A3
Goldman Sachs Group Inc/The,GS,2.625,1/31/2019,2.375711,2.375711,AT MATURITY,2500000000,USD,US,1/28/2014,FIXED,BBB+,A3
Goldman Sachs Group Inc/The,GS,2.625,1/31/2019,2.375711,2.375711,AT MATURITY,2500000000,USD,US,1/28/2014,FIXED,BBB+,A3
Goldman Sachs Group Inc/The,GS,2.55,10/23/2019,2.499883,2.499883,AT MATURITY,2500000000,USD,US,10/20/2014,FIXED,BBB+,A3
Diamond Offshore Drilling Inc,DO,5.875,5/1/2019,8.7953136,8.7953136,AT MATURITY,500000000,USD,US,4/29/2009,FIXED,BBB+,Baa2 /*-
Verizon Communications Inc,VZ,1.1,11/1/2017,1.7218108,1.7218108,AT MATURITY,500000000,USD,US,11/2/2012,FIXED,BBB+,Baa1
Goldman Sachs Group Inc/The,GS,2.375,1/22/2018,2.0614012,2.0614012,AT MATURITY,2750000000,USD,US,1/16/2013,FIXED,BBB+,A3
Devon Energy Corp,DVN,2.25,12/15/2018,8.4631238,8.4631238,CALLABLE,750000000,USD,US,12/11/2013,FIXED,BBB+,Baa1 /*-
