Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
CNOOC Finance 2015 USA LLC,CNOOC,3.5,5/5/2025,3.8952114,3.8952114,AT MATURITY,2000000000,USD,US,4/28/2015,FIXED,A+,Aa3
Visa Inc,V,3.15,12/14/2025,2.9713562,2.96764723,CALLABLE,4000000000,USD,US,12/9/2015,FIXED,A+,A1
QUALCOMM Inc,QCOM,3.45,5/20/2025,3.4877383,3.4877383,CALLABLE,2000000000,USD,US,5/13/2015,FIXED,A+,A1
Visa Inc,V,2.2,12/14/2020,2.0945098,2.09292533,CALLABLE,3000000000,USD,US,12/9/2015,FIXED,A+,A1
Visa Inc,V,4.3,12/14/2045,4.1007329,4.0990277,CALLABLE,3500000000,USD,US,12/9/2015,FIXED,A+,A1
Visa Inc,V,2.8,12/14/2022,2.5483724,2.54295612,CALLABLE,2250000000,USD,US,12/9/2015,FIXED,A+,A1
QUALCOMM Inc,QCOM,4.8,5/20/2045,5.3068981,5.3068981,CALLABLE,1500000000,USD,US,5/13/2015,FIXED,A+,A1
Intel Corp,INTC,4.9,7/29/2045,4.6030722,4.6007146,CALLABLE,2000000000,USD,US,7/22/2015,FIXED,A+,A1
Visa Inc,V,1.2,12/14/2017,1.0741275,1.0741275,AT MATURITY,1750000000,USD,US,12/9/2015,FIXED,A+,A1
Intel Corp,INTC,3.7,7/29/2025,3.0406204,3.0259843,CALLABLE,2250000000,USD,US,7/22/2015,FIXED,A+,A1
Stryker Corp,SYK,3.375,11/1/2025,3.4818323,3.4818323,CALLABLE,750000000,USD,US,10/26/2015,FIXED,A+,A3
QUALCOMM Inc,QCOM,3,5/20/2022,2.8340508,2.8340508,AT MATURITY,2000000000,USD,US,5/13/2015,FIXED,A+,A1
Abbott Laboratories,ABT,2.55,3/15/2022,2.5105332,2.5105332,AT MATURITY,750000000,USD,US,3/5/2015,FIXED,A+,A2
Intel Corp,INTC,2.7,12/15/2022,2.5750222,2.5750222,AT MATURITY,1500000000,USD,US,12/4/2012,FIXED,A+,A1
UnitedHealth Group Inc,UNH,3.35,7/15/2022,2.6096715,2.6096715,AT MATURITY,1000000000,USD,US,7/20/2015,FIXED,A+,A3
UnitedHealth Group Inc,UNH,3.75,7/15/2025,3.2380219,3.2380219,AT MATURITY,2000000000,USD,US,7/20/2015,FIXED,A+,A3
UnitedHealth Group Inc,UNH,3.75,7/15/2025,3.2380219,3.2380219,AT MATURITY,2000000000,USD,US,7/20/2015,FIXED,A+,A3
Altera Corp,INTC,2.5,11/15/2018,1.5407305,1.5407305,AT MATURITY,600000000,USD,US,10/29/2013,FIXED,A+,A1
Costco Wholesale Corp,COST,1.7,12/15/2019,1.4982592,1.4982592,AT MATURITY,1200000000,USD,US,11/28/2012,FIXED,A+,A1
Texas Instruments Inc,TXN,1.65,8/3/2019,1.8859658,1.8859658,AT MATURITY,750000000,USD,US,7/30/2012,FIXED,A+,A1
Visa Inc,V,4.15,12/14/2035,3.8902958,3.8859248,CALLABLE,1500000000,USD,US,12/9/2015,FIXED,A+,A1
United Parcel Service Inc,UPS,3.125,1/15/2021,2.0234921,2.0234921,AT MATURITY,1500000000,USD,US,11/8/2010,FIXED,A+,Aa3
United Parcel Service Inc,UPS,3.125,1/15/2021,2.0234921,2.0234921,AT MATURITY,1500000000,USD,US,11/8/2010,FIXED,A+,Aa3
Intel Corp,INTC,2.45,7/29/2020,1.9667887,1.9667887,AT MATURITY,1750000000,USD,US,7/22/2015,FIXED,A+,A1
UnitedHealth Group Inc,UNH,4.75,7/15/2045,4.3410118,4.3410118,AT MATURITY,2000000000,USD,US,7/20/2015,FIXED,A+,A3
UnitedHealth Group Inc,UNH,4.75,7/15/2045,4.3410118,4.3410118,AT MATURITY,2000000000,USD,US,7/20/2015,FIXED,A+,A3
Costco Wholesale Corp,COST,2.25,2/15/2022,2.2139699,2.2139699,AT MATURITY,500000000,USD,US,2/5/2015,FIXED,A+,A1
QUALCOMM Inc,QCOM,4.65,5/20/2035,5.2433636,5.2433636,CALLABLE,1000000000,USD,US,5/13/2015,FIXED,A+,A1
QUALCOMM Inc,QCOM,2.25,5/20/2020,2.1286661,2.1286661,AT MATURITY,1750000000,USD,US,5/13/2015,FIXED,A+,A1
Intel Corp,INTC,1.35,12/15/2017,1.1556325,1.1556325,AT MATURITY,3000000000,USD,US,12/4/2012,FIXED,A+,A1
Abbott Laboratories,ABT,2.95,3/15/2025,3.0612602,3.0612602,CALLABLE,1000000000,USD,US,3/5/2015,FIXED,A+,A2
Abbott Laboratories,ABT,2.95,3/15/2025,3.0612602,3.0612602,CALLABLE,1000000000,USD,US,3/5/2015,FIXED,A+,A2
Intel Corp,INTC,3.3,10/1/2021,2.1967779,2.1967779,AT MATURITY,2000000000,USD,US,9/14/2011,FIXED,A+,A1
GlaxoSmithKline Capital Inc,GSK,5.65,5/15/2018,1.6856371,1.6856371,AT MATURITY,2750000000,USD,US,5/6/2008,FIXED,A+,A2
United Parcel Service Inc,UPS,2.45,10/1/2022,2.4861151,2.4861151,AT MATURITY,1000000000,USD,US,9/24/2012,FIXED,A+,Aa3
